Scenario,Algorithm,Solved,Moves,Expanded_Nodes,Max_Fringe_Size,Time
"[1, 6, 2, 7, 9, 5, 8, 4, 13, 11, 0, 3, 14, 10, 15, 12]",A* (euclideanDistance),True,20,383,390,0.016497135162353516
"[1, 6, 2, 7, 9, 5, 8, 4, 13, 11, 0, 3, 14, 10, 15, 12]",A* (manhattanDistance),True,20,316,312,0.009019136428833008
"[1, 6, 2, 7, 9, 5, 8, 4, 13, 11, 0, 3, 14, 10, 15, 12]",A* (rowColumnHeuristic),True,20,530,535,0.013372182846069336
"[1, 6, 2, 7, 9, 5, 8, 4, 13, 11, 0, 3, 14, 10, 15, 12]",A* (linearConflict),True,20,2020,2054,0.08671975135803223
"[1, 6, 2, 7, 9, 5, 8, 4, 13, 11, 0, 3, 14, 10, 15, 12]",DFS,False,0,20853,19802,10.010772466659546
"[1, 6, 2, 7, 9, 5, 8, 4, 13, 11, 0, 3, 14, 10, 15, 12]",BFS,False,0,639938,606971,10.000246047973633
"[1, 6, 2, 7, 9, 5, 8, 4, 13, 11, 0, 3, 14, 10, 15, 12]",UCS,False,0,488346,463037,10.000434160232544
"[2, 7, 6, 3, 5, 0, 15, 4, 10, 1, 11, 8, 9, 13, 14, 12]",A* (misplacedTiles),True,22,6243,5884,0.12427496910095215
"[2, 7, 6, 3, 5, 0, 15, 4, 10, 1, 11, 8, 9, 13, 14, 12]",A* (euclideanDistance),True,22,575,553,0.020418882369995117
"[2, 7, 6, 3, 5, 0, 15, 4, 10, 1, 11, 8, 9, 13, 14, 12]",A* (manhattanDistance),True,22,431,415,0.022251367568969727
"[2, 7, 6, 3, 5, 0, 15, 4, 10, 1, 11, 8, 9, 13, 14, 12]",A* (rowColumnHeuristic),True,22,962,926,0.016655683517456055
"[2, 7, 6, 3, 5, 0, 15, 4, 10, 1, 11, 8, 9, 13, 14, 12]",A* (linearConflict),True,22,4864,4823,0.3003089427947998
"[2, 7, 6, 3, 5, 0, 15, 4, 10, 1, 11, 8, 9, 13, 14, 12]",DFS,False,0,17791,16895,10.016282558441162
"[2, 7, 6, 3, 5, 0, 15, 4, 10, 1, 11, 8, 9, 13, 14, 12]",BFS,False,0,664792,628480,10.007455587387085
"[2, 7, 6, 3, 5, 0, 15, 4, 10, 1, 11, 8, 9, 13, 14, 12]",UCS,False,0,439471,416525,10.000244855880737
